method;variation;dataset;target;horizon;tau;coverage;mean_IS;WIS_58;WIS_all;frequency;best WIS_58;best WIS_all;best cov_0.5;best cov_0.8;abs_cov_dev;cov_group_norm;WIS_all_group_norm
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;0;0.1;0.071429;0.237765;0.06498;0.08375;annually;0.06406;0.08317;0.47619;0.738095;0.028571;0.230763432;0.001773863
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;0;0.2;0.119048;0.263868;0.06498;0.08375;annually;0.06406;0.08317;0.47619;0.738095;0.080952;0.423075266;0.001773863
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;0;0.3;0.190476;0.294777;0.06498;0.08375;annually;0.06406;0.08317;0.47619;0.738095;0.109524;0.4;0.001773863
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;0;0.4;0.25;0.332163;0.06498;0.08375;annually;0.06406;0.08317;0.47619;0.738095;0.15;0.392856393;0.001773863
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;0;0.5;0.297619;0.378756;0.06498;0.08375;annually;0.06406;0.08317;0.47619;0.738095;0.202381;0.428571086;0.001773863
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;0;0.6;0.416667;0.43999;0.06498;0.08375;annually;0.06406;0.08317;0.47619;0.738095;0.183333;0.317072871;0.001773863
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;0;0.7;0.52381;0.528188;0.06498;0.08375;annually;0.06406;0.08317;0.47619;0.738095;0.17619;0.286866054;0.001773863
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;0;0.8;0.619048;0.677685;0.06498;0.08375;annually;0.06406;0.08317;0.47619;0.738095;0.180952;0.227271773;0.001773863
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;0;0.9;0.72619;1.011773;0.06498;0.08375;annually;0.06406;0.08317;0.47619;0.738095;0.17381;0.20000144;0.001773863
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;0.5;0.1;0.035714;1.057517;0.24991;0.33968;annually;0.187;0.25699;0.5;0.797619;0.064286;0.96153784;0.628247987
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;0.5;0.2;0.107143;1.164228;0.24991;0.33968;annually;0.187;0.25699;0.5;0.797619;0.092857;0.926827769;0.628247987
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;0.5;0.3;0.142857;1.281377;0.24991;0.33968;annually;0.187;0.25699;0.5;0.797619;0.157143;1;0.628247987
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;0.5;0.4;0.214286;1.410329;0.24991;0.33968;annually;0.187;0.25699;0.5;0.797619;0.185714;1;0.628247987
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;0.5;0.5;0.309524;1.557642;0.24991;0.33968;annually;0.187;0.25699;0.5;0.797619;0.190476;1;0.628247987
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;0.5;0.6;0.452381;1.728579;0.24991;0.33968;annually;0.187;0.25699;0.5;0.797619;0.147619;1;0.628247987
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;0.5;0.7;0.583333;1.983697;0.24991;0.33968;annually;0.187;0.25699;0.5;0.797619;0.116667;0.68254;0.628247987
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;0.5;0.8;0.619048;2.353702;0.24991;0.33968;annually;0.187;0.25699;0.5;0.797619;0.180952;0.882350616;0.628247987
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;0.5;0.9;0.785714;2.915144;0.24991;0.33968;annually;0.187;0.25699;0.5;0.797619;0.114286;0.479168398;0.628247987
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;1;0.1;0.130952;2.117029;0.56185;0.73334;annually;0.43586;0.57538;0.488095;0.797619;0.030952;0.526305319;0.961236536
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;1;0.2;0.166667;2.351251;0.56185;0.73334;annually;0.43586;0.57538;0.488095;0.797619;0.033333;0.382350035;0.961236536
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;1;0.3;0.22619;2.622064;0.56185;0.73334;annually;0.43586;0.57538;0.488095;0.797619;0.07381;0.600001867;0.961236536
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;1;0.4;0.25;2.943657;0.56185;0.73334;annually;0.43586;0.57538;0.488095;0.797619;0.15;0.810812191;0.961236536
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;1;0.5;0.333333;3.326324;0.56185;0.73334;annually;0.43586;0.57538;0.488095;0.797619;0.166667;1;0.961236536
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;1;0.6;0.428571;3.832105;0.56185;0.73334;annually;0.43586;0.57538;0.488095;0.797619;0.171429;1;0.961236536
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;1;0.7;0.535714;4.561564;0.56185;0.73334;annually;0.43586;0.57538;0.488095;0.797619;0.164286;0.785716429;0.961236536
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;1;0.8;0.642857;5.730542;0.56185;0.73334;annually;0.43586;0.57538;0.488095;0.797619;0.157143;0.722221704;0.961236536
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;1;0.9;0.785714;8.349686;0.56185;0.73334;annually;0.43586;0.57538;0.488095;0.797619;0.114286;0.60000224;0.961236536
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;1.5;0.1;0.02381;2.85618;0.71096;0.94816;annually;0.39886;0.52735;0.52381;0.8;0.07619;1;0.944367145
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;1.5;0.2;0.083333;3.151257;0.71096;0.94816;annually;0.39886;0.52735;0.52381;0.8;0.116667;1;0.944367145
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;1.5;0.3;0.154762;3.485544;0.71096;0.94816;annually;0.39886;0.52735;0.52381;0.8;0.145238;0.923075432;0.944367145
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;1.5;0.4;0.166667;3.851935;0.71096;0.94816;annually;0.39886;0.52735;0.52381;0.8;0.233333;1;0.944367145
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;1.5;0.5;0.297619;4.282983;0.71096;0.94816;annually;0.39886;0.52735;0.52381;0.8;0.202381;1;0.944367145
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;1.5;0.6;0.452381;4.882452;0.71096;0.94816;annually;0.39886;0.52735;0.52381;0.8;0.147619;0.89999832;0.944367145
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;1.5;0.7;0.571429;5.739726;0.71096;0.94816;annually;0.39886;0.52735;0.52381;0.8;0.128571;0.833329833;0.944367145
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;1.5;0.8;0.678571;7.066422;0.71096;0.94816;annually;0.39886;0.52735;0.52381;0.8;0.121429;0.671056413;0.944367145
ald_quantiles_prediction;;ARIMA(1,1,0);cpi;1.5;0.9;0.72619;9.428078;0.71096;0.94816;annually;0.39886;0.52735;0.52381;0.8;0.17381;0.722225074;0.944367145
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;0;0.1;0.071429;0.292378;0.07238;0.0968;annually;0.0689;0.09215;0.488095;0.791667;0.028571;0.070920486;0.004983442
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;0;0.2;0.166667;0.322939;0.07238;0.0968;annually;0.0689;0.09215;0.488095;0.791667;0.033333;0.066665805;0.004983442
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;0;0.3;0.27381;0.358283;0.07238;0.0968;annually;0.0689;0.09215;0.488095;0.791667;0.02619;0.054643642;0.004983442
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;0;0.4;0.333333;0.399704;0.07238;0.0968;annually;0.0689;0.09215;0.488095;0.791667;0.066667;0.167742407;0.004983442
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;0;0.5;0.404762;0.447259;0.07238;0.0968;annually;0.0689;0.09215;0.488095;0.791667;0.095238;0.241378411;0.004983442
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;0;0.6;0.47619;0.503693;0.07238;0.0968;annually;0.0689;0.09215;0.488095;0.791667;0.12381;0.250001969;0.004983442
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;0;0.7;0.559524;0.578548;0.07238;0.0968;annually;0.0689;0.09215;0.488095;0.791667;0.140476;0.274610249;0.004983442
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;0;0.8;0.714286;0.691265;0.07238;0.0968;annually;0.0689;0.09215;0.488095;0.791667;0.085714;0.142857143;0.004983442
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;0;0.9;0.797619;0.901766;0.07238;0.0968;annually;0.0689;0.09215;0.488095;0.791667;0.102381;0.189814617;0.004983442
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;0.5;0.1;0.071429;2.394997;0.61946;0.81709;annually;0.41881;0.56082;0.5;0.791667;0.028571;0.24998425;0.44401899
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;0.5;0.2;0.190476;2.649628;0.61946;0.81709;annually;0.41881;0.56082;0.5;0.791667;0.009524;0.078949114;0.44401899
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;0.5;0.3;0.22619;2.950357;0.61946;0.81709;annually;0.41881;0.56082;0.5;0.791667;0.07381;0.574469416;0.44401899
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;0.5;0.4;0.27381;3.295381;0.61946;0.81709;annually;0.41881;0.56082;0.5;0.791667;0.12619;0.853767947;0.44401899
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;0.5;0.5;0.369048;3.708859;0.61946;0.81709;annually;0.41881;0.56082;0.5;0.791667;0.130952;1;0.44401899
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;0.5;0.6;0.47619;4.234698;0.61946;0.81709;annually;0.41881;0.56082;0.5;0.791667;0.12381;1;0.44401899
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;0.5;0.7;0.595238;4.982795;0.61946;0.81709;annually;0.41881;0.56082;0.5;0.791667;0.104762;1;0.44401899
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;0.5;0.8;0.690476;6.214237;0.61946;0.81709;annually;0.41881;0.56082;0.5;0.791667;0.109524;1;0.44401899
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;0.5;0.9;0.821429;9.20978;0.61946;0.81709;annually;0.41881;0.56082;0.5;0.791667;0.078571;0.4999965;0.44401899
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;1;0.1;0.035714;3.378827;0.77099;1.06655;annually;0.66582;0.84175;0.5;0.77381;0.064286;0.714290857;0.258367047
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;1;0.2;0.083333;3.713465;0.77099;1.06655;annually;0.66582;0.84175;0.5;0.77381;0.116667;1;0.258367047
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;1;0.3;0.142857;4.079639;0.77099;1.06655;annually;0.66582;0.84175;0.5;0.77381;0.157143;0.925924774;0.258367047
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;1;0.4;0.190476;4.473463;0.77099;1.06655;annually;0.66582;0.84175;0.5;0.77381;0.209524;1;0.258367047
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;1;0.5;0.285714;4.890001;0.77099;1.06655;annually;0.66582;0.84175;0.5;0.77381;0.214286;0.9000021;0.258367047
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;1;0.6;0.369048;5.380195;0.77099;1.06655;annually;0.66582;0.84175;0.5;0.77381;0.230952;1;0.258367047
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;1;0.7;0.559524;6.021981;0.77099;1.06655;annually;0.66582;0.84175;0.5;0.77381;0.140476;0.478260393;0.258367047
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;1;0.8;0.678571;7.049666;0.77099;1.06655;annually;0.66582;0.84175;0.5;0.77381;0.121429;0.421055657;0.258367047
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;1;0.9;0.797619;8.993416;0.77099;1.06655;annually;0.66582;0.84175;0.5;0.77381;0.102381;0.416668417;0.258367047
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;1.5;0.1;0.059524;6.934807;1.82745;2.39342;annually;0.78484;1.0529;0.511905;0.77381;0.040476;0.36585091;0.711679762
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;1.5;0.2;0.142857;7.675252;1.82745;2.39342;annually;0.78484;1.0529;0.511905;0.77381;0.057143;0.696974711;0.711679762
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;1.5;0.3;0.178571;8.526429;1.82745;2.39342;annually;0.78484;1.0529;0.511905;0.77381;0.121429;1;0.711679762
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;1.5;0.4;0.27381;9.513848;1.82745;2.39342;annually;0.78484;1.0529;0.511905;0.77381;0.12619;0.71830486;0.711679762
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;1.5;0.5;0.428571;10.765776;1.82745;2.39342;annually;0.78484;1.0529;0.511905;0.77381;0.071429;0.263159291;0.711679762
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;1.5;0.6;0.511905;12.452728;1.82745;2.39342;annually;0.78484;1.0529;0.511905;0.77381;0.088095;0.430378266;0.711679762
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;1.5;0.7;0.595238;14.809132;1.82745;2.39342;annually;0.78484;1.0529;0.511905;0.77381;0.104762;0.34999895;0.711679762
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;1.5;0.8;0.690476;18.771845;1.82745;2.39342;annually;0.78484;1.0529;0.511905;0.77381;0.109524;0.304349732;0.711679762
ald_quantiles_prediction;;ARIMA(1,1,0);gdp;1.5;0.9;0.821429;28.555317;1.82745;2.39342;annually;0.78484;1.0529;0.511905;0.77381;0.078571;0.13333072;0.711679762
ald_quantiles_prediction;;ARIMA BIC;cpi;0;0.1;0.061728;0.235419;0.06526;0.08373;annually;0.06178;0.08129;0.493827;0.740741;0.038272;0.254237055;0.007478927
ald_quantiles_prediction;;ARIMA BIC;cpi;0;0.2;0.111111;0.26191;0.06526;0.08373;annually;0.06178;0.08129;0.493827;0.740741;0.088889;0.5;0.007478927
ald_quantiles_prediction;;ARIMA BIC;cpi;0;0.3;0.209877;0.293611;0.06526;0.08373;annually;0.06178;0.08129;0.493827;0.740741;0.090123;0.274659334;0.007478927
ald_quantiles_prediction;;ARIMA BIC;cpi;0;0.4;0.259259;0.332246;0.06526;0.08373;annually;0.06178;0.08129;0.493827;0.740741;0.140741;0.375001406;0.007478927
ald_quantiles_prediction;;ARIMA BIC;cpi;0;0.5;0.333333;0.379265;0.06526;0.08373;annually;0.06178;0.08129;0.493827;0.740741;0.166667;0.382353432;0.007478927
